"intptlat","intptlong","zcta5"
18.1805553436279,-66.7499618530273,"00601"
18.3619441986084,-67.1755981445312,"00602"
18.4551830291748,-67.1198883056641,"00603"
18.1583442687988,-66.9329147338867,"00606"
18.2953662872314,-67.1251373291016,"00610"
18.4022521972656,-66.7113952636719,"00612"
18.4204120635986,-66.6719818115234,"00616"
18.4451465606689,-66.5596923828125,"00617"
17.9912452697754,-67.1539916992188,"00622"
18.0833606719971,-67.1539001464844,"00623"
18.0649185180664,-66.716682434082,"00624"
18.4125995635986,-66.8639297485352,"00627"
18.1906070709229,-66.8320388793945,"00631"
18.0767135620117,-66.9473876953125,"00637"
18.2959136962891,-66.5155868530273,"00638"
18.2630844116211,-66.7129821777344,"00641"
18.4331493377686,-66.2858734130859,"00646"
17.9636135101318,-66.9471282958984,"00647"
18.3494167327881,-66.5780792236328,"00650"
18.4484519958496,-66.594123840332,"00652"
17.9850330352783,-66.8865356445312,"00653"
18.053539276123,-66.7929306030273,"00656"
18.4072265625,-66.8089981079102,"00659"
18.1346950531006,-67.1161956787109,"00660"
18.4683208465576,-67.0157775878906,"00662"
18.2103290557861,-66.5916137695312,"00664"
18.0034217834473,-67.0358123779297,"00667"
18.2771015167236,-66.8696441650391,"00669"
18.2401866912842,-66.9887771606445,"00670"
18.422908782959,-66.4893341064453,"00674"
18.3776378631592,-67.0795745849609,"00676"
18.3325672149658,-67.2270202636719,"00677"
18.4340991973877,-66.9273834228516,"00678"
18.1820545196533,-67.1324996948242,"00680"
18.2214641571045,-67.1560363769531,"00682"
18.1077995300293,-67.0372619628906,"00683"
18.3329296112061,-66.9596862792969,"00685"
18.3190269470215,-66.4205551147461,"00687"
18.3822631835938,-66.6264343261719,"00688"
18.4955101013184,-67.0986709594727,"00690"
18.4101886749268,-66.336555480957,"00692"
18.4230003356934,-66.3972320556641,"00693"
18.4823703765869,-66.3910827636719,"00694"
18.064847946167,-66.856315612793,"00698"
18.2484016418457,-66.1306610107422,"00703"
17.9657707214355,-66.2195587158203,"00704"
18.1289615631104,-66.2666854858398,"00705"
18.0140552520752,-65.9207534790039,"00707"
18.0030250549316,-66.0462341308594,"00714"
18.0112323760986,-66.5600662231445,"00715"
17.9920406341553,-66.6058578491211,"00716"
18.0032215118408,-66.6140365600586,"00717"
18.2319889068604,-65.7596206665039,"00718"
18.2899265289307,-66.2534408569336,"00719"
18.217945098877,-66.4280776977539,"00720"
18.0434970855713,-66.0154800415039,"00723"
18.2188186645508,-66.0423736572266,"00725"
18.2153072357178,-66.0735626220703,"00727"
17.9898529052734,-66.6641159057617,"00728"
18.3235855102539,-65.8832092285156,"00729"
18.0308303833008,-66.6168365478516,"00730"
18.1099472045898,-66.6356201171875,"00731"
18.2526035308838,-65.6824951171875,"00735"
18.1036243438721,-66.1516647338867,"00736"
18.3044586181641,-65.6987075805664,"00738"
18.1772327423096,-66.16064453125,"00739"
18.3311786651611,-65.6341018676758,"00740"
18.163854598999,-65.7540435791016,"00741"
