"state","zcta5","stab","zipname","intptlon","intptlat","pop2k","afact"
"FIPS state","ZIP Census Tabulation Area","State Postal Code","zipname","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2000 census","state to zcta5 alloc factor"
"37","27305","NC","MILTON",-79.202212,36.519062,1616,0.000201 
"37","27306","NC","MOUNT GILEAD",-80.002856,35.238413,6292,0.000782 
"37","27310","NC","OAK RIDGE",-79.988454,36.177549,4187,0.00052 
"37","27311","NC","PELHAM",-79.467716,36.494062,3831,0.000476 
"37","27312","NC","PITTSBORO",-79.173013,35.759717,12513,0.001555 
"37","27313","NC","PLEASANT GARDEN",-79.752816,35.93357,6370,0.000791 
"37","27314","NC","PROSPECT HILL",-79.202216,36.287403,668,0.000083 
"37","27315","NC","PROVIDENCE",-79.377084,36.510691,1587,0.000197 
"37","27316","NC","COLERIDGE",-79.640402,35.712429,6667,0.000828 
"37","27317","NC","RANDLEMAN",-79.799501,35.835099,14198,0.001764 
"37","27320","NC","REIDSVILLE",-79.664943,36.345071,39088,0.004856 
"37","27325","NC","ROBBINS",-79.586336,35.450077,6760,0.00084 
"37","27326","NC","RUFFIN",-79.559588,36.45547,3836,0.000477 
"37","27330","NC","COLON",-79.162528,35.447633,54739,0.0068 
"37","27341","NC","SEAGROVE",-79.710132,35.530248,5015,0.000623 
"37","27342","NC","SEDALIA",-79.631154,36.075849,30,4E-6 
"37","27343","NC","SEMORA",-79.106577,36.501172,1576,0.000196 
"37","27344","NC","SILER CITY",-79.452447,35.730008,15848,0.001969 
"37","27349","NC","SNOW CAMP",-79.419522,35.909661,4925,0.000612 
"37","27350","NC","SOPHIA",-79.89617,35.815942,5907,0.000734 
"37","27355","NC","STALEY",-79.570182,35.791735,2493,0.00031 
"37","27356","NC","STAR",-79.794275,35.424861,3195,0.000397 
"37","27357","NC","STOKESDALE",-79.975006,36.266046,6490,0.000806 
"37","27358","NC","SUMMERFIELD",-79.893682,36.211334,9846,0.001223 
"37","27360","NC","THOMASVILLE",-80.087913,35.868653,41894,0.005205 
"37","27370","NC","TRINITY",-79.983014,35.837911,15263,0.001896 
"37","27371","NC","TROY",-79.919658,35.381385,8058,0.001001 
"37","27376","NC","WEST END",-79.535071,35.256661,7623,0.000947 
"37","27377","NC","WHITSETT",-79.602258,36.04695,3866,0.00048 
"37","27379","NC","YANCEYVILLE",-79.347616,36.400178,5940,0.000738 
"37","27401","NC","GREENSBORO",-79.767679,36.070764,19172,0.002382 
"37","27403","NC","GREENSBORO",-79.821178,36.0646,22330,0.002774 
"37","27405","NC","GREENSBORO",-79.755455,36.111212,41091,0.005105 
"37","27406","NC","GREENSBORO",-79.782867,36.019079,50336,0.006253 
"37","27407","NC","GREENSBORO",-79.871944,36.032966,43084,0.005353 
"37","27408","NC","GREENSBORO",-79.81471,36.103853,17072,0.002121 
"37","27409","NC","GREENSBORO",-79.912851,36.076371,13473,0.001674 
"37","27410","NC","GREENSBORO",-79.883048,36.112038,45459,0.005648 
"37","27455","NC","GREENSBORO",-79.815261,36.15104,22619,0.00281 
"37","27501","NC","ANGIER",-78.707976,35.491027,12898,0.001602 
"37","27502","NC","APEX",-78.84955,35.735103,44147,0.005485 
"37","27503","NC","BAHAMA",-78.890077,36.159198,3304,0.00041 
"37","27504","NC","BENSON",-78.538973,35.417988,12986,0.001613 
"37","27505","NC","BROADWAY",-79.020155,35.424528,4504,0.00056 
"37","27506","NC","BUIES CREEK",-78.739638,35.40845,1938,0.000241 
"37","27507","NC","BULLOCK",-78.575483,36.509211,1732,0.000215 
"37","27508","NC","BUNN",-78.256068,35.949205,1691,0.00021 
"37","27509","NC","BUTNER",-78.772157,36.140331,8590,0.001067 
"37","27510","NC","CARRBORO",-79.079797,35.909437,14241,0.001769 
"37","27511","NC","CARY",-78.776685,35.755746,45130,0.005607 
"37","27513","NC","CARY",-78.806728,35.794156,37119,0.004611 
"37","27514","NC","CHAPEL HILL",-79.035567,35.914951,50554,0.006281 
"37","27516","NC","CHAPEL HILL",-79.100579,35.911186,28584,0.003551 
"37","27520","NC","CLAYTON",-78.451528,35.630198,32155,0.003995 
"37","27521","NC","COATS",-78.660828,35.41058,5636,0.0007 
"37","27522","NC","CREEDMOOR",-78.685451,36.108598,8733,0.001085 
"37","27524","NC","FOUR OAKS",-78.413615,35.41797,9853,0.001224 
"37","27525","NC","FRANKLINTON",-78.4724,36.109309,10573,0.001314 
"37","27526","NC","FUQUAY VARINA",-78.794871,35.578113,24906,0.003094 
"37","27529","NC","GARNER",-78.599353,35.669148,30289,0.003763 
"37","27530","NC","GRANTHAM",-78.021756,35.386454,38376,0.004768 
"37","27534","NC","GOLDSBORO",-77.925076,35.373287,32997,0.004099 
"37","27536","NC","HENDERSON",-78.395336,36.330753,39842,0.00495 
"37","27540","NC","HOLLY SPRINGS",-78.832997,35.643526,12367,0.001536 
"37","27541","NC","HURDLE MILLS",-79.081182,36.258805,3346,0.000416 
"37","27542","NC","KENLY",-78.14081,35.617861,7501,0.000932 
"37","27544","NC","KITTRELL",-78.439199,36.212499,3730,0.000463 
"37","27545","NC","KNIGHTDALE",-78.48468,35.78155,15708,0.001951 
"37","27546","NC","LILLINGTON",-78.867529,35.384665,14541,0.001806 
"37","27549","NC","LOUISBURG",-78.261948,36.080301,21818,0.002711 
"37","27551","NC","MACON",-78.049424,36.42992,2023,0.000251 
"37","27553","NC","MANSON",-78.302854,36.472277,1967,0.000244 
"37","27555","NC","MICRO",-78.203024,35.564371,449,0.000056 
"37","27557","NC","MIDDLESEX",-78.206782,35.772033,6593,0.000819 
"37","27559","NC","MONCURE",-79.093241,35.63384,2149,0.000267 
"37","27560","NC","MORRISVILLE",-78.842851,35.821094,10320,0.001282 
"37","27562","NC","NEW HILL",-78.974106,35.665263,1727,0.000215 
"37","27563","NC","NORLINA",-78.215218,36.442941,5191,0.000645 
"37","27565","NC","OXFORD",-78.61557,36.330877,23470,0.002916 
"37","27568","NC","PINE LEVEL",-78.242414,35.51141,74,9E-6 
"37","27569","NC","PRINCETON",-78.162729,35.463786,6321,0.000785 
"37","27570","NC","RIDGEWAY",-78.237048,36.450243,216,0.000027 
"37","27571","NC","ROLESVILLE",-78.455282,35.922962,1287,0.00016 
"37","27572","NC","ROUGEMONT",-78.900429,36.239479,6561,0.000815 
"37","27573","NC","ROXBORO",-78.969515,36.406437,24527,0.003047 
"37","27576","NC","SELMA",-78.268243,35.563632,16381,0.002035 
"37","27577","NC","SMITHFIELD",-78.349434,35.50645,19086,0.002371 
"37","27581","NC","STEM",-78.711664,36.209015,2614,0.000325 
"37","27582","NC","STOVALL",-78.570237,36.452493,63,8E-6 
"37","27583","NC","TIMBERLAKE",-78.943416,36.28712,4674,0.000581 
"37","27584","NC","TOWNSVILLE",-78.436052,36.512098,146,0.000018 
"37","27587","NC","WAKE FOREST",-78.527747,35.971353,29476,0.003662 
"37","27589","NC","WARRENTON",-78.13645,36.35848,8381,0.001041 
"37","27591","NC","WENDELL",-78.384459,35.795826,15339,0.001906 
"37","27592","NC","WILLOW SPRING",-78.668868,35.557856,8926,0.001109 
"37","27596","NC","YOUNGSVILLE",-78.448774,36.011044,8474,0.001053 
